Title,Rating,Votes,Time,Genre,Stars
Baradeon Bada,9.5,71,80 min,"Music, Reality-TV","Jong-shin Yoon, Ji-Ah Lee, Lee Dong-Wook, Onew"
Age of Youth,8.3,"1,992",60 min,"Comedy, Drama, Romance","Yeri Han, Seung-Yeon Han, Eun-bin Park, Hwa-young Ryu"
Tell Me What You Saw,7.7,576,60 min,"Mystery, Thriller","Jang Hyuk, Sooyoung Choi, Seo-Yeon Jin, Seung-su Ryu"
Are You Human Too?,8,"1,992",35 min,"Comedy, Drama, Romance","Seo Kang-Joon, Gong Seung-Yeon, Sung-ryung Kim, Lee Joon-hyuk"
I Hear Your Voice,8.1,"3,741",60 min,"Comedy, Drama, Fantasy","Lee Bo-young, Lee Jong-Suk, Yoon Sang-Hyun, Lee Da-hee"
Misaeng,8.6,"1,743",60 min,Drama,"Si-wan Yim, Lee Sung-min, Kang So-ra, Kang Ha-Neul"
Tunnel,8.3,"2,615",60 min,"Crime, Fantasy, Thriller","Choi Jin-Hyuk, Hyun-min Yoon, Hie-bong Jo, Kang Ki-Young"
The Great Jang-Geum,8.5,"3,487",60 min,"Biography, Drama, History","Lee Yeong-ae, Hyeon-shik Lim, Jin-hee Ji, So-yi Kim"
Strongest Deliveryman,7.3,543,-,"Drama, Romance","Go Kyung-Pyo, Kang Bong-Sung, Sun Woo Jae Duk, Won-Hee Go"
Undercover,7.8,120,70 min,"Drama, Thriller","Jin-hee Ji, Kim Hyun-joo, Joon-ho Huh, Man-sik Jeong"
Ailiseu,7.8,"1,897",60 min,"Action, Mystery, Romance","Yeong-cheol Kim, Yun Ju-sang, Seung-woo Kim, Lee Jeong-kil"
Kairos,8,471,70 min,"Fantasy, Mystery, Thriller","Seong-rok Sin, Se-yeong Lee, Ahn Bo-Hyun, Chul-Hyung Im"
The Fiery Priest,8.2,719,35 min,"Action, Comedy, Crime","Nam-gil Kim, Kim Seong-gyoon, Lee Hanee, Sung-woo Jeon"
Tomorrow with You,7.5,944,60 min,"Drama, Fantasy, Romance","Shin Min-a, Lee Jehoon, Hyeon-jin Baek, Kang Ki-Doong"
Super Wings!,6.2,308,15 min,"Animation, Adventure, Family","Luca Padovan, Hudson Loverro, Chasden Gilson-Walker, Jamie Sara Lewis"
Awaken,7.5,400,65 min,"Crime, Fantasy, Mystery","Min Namkoong, Seol-Hyun Kim, Chung-Ah Lee, Sun-Woo Yoon"
Cheese in the Trap,7.3,"3,681",60 min,"Comedy, Romance","Park Hae-Jin, Kim Go-eun, Seo Kang-Joon, Nam Joo-Hyuk"
Bulgasal,-,-,-,"Fantasy, Thriller",-
Our Beloved Summer,8.5,84,-,"Comedy, Romance","Kim Da-Mi, Kim Sung-cheol, Lee Joon-hyuk, Seo Jung-Yeon"
The Tale of Nokdu,7.9,979,30 min,"Action, Comedy, History","Dong-Yoon Jang, Kim So-Hyun, Tae-oh Kang, Jun-ho Jeong"
Doctor John,8.2,"1,052",35 min,"Drama, Mystery, Romance","Seong Ji, Se-yeong Lee, Hwang Hee, Min-a Jeong"
OK K.O.! Let's Be Heroes,6.5,"2,582",11 min,"Animation, Short, Action","Courtenay Taylor, Ashly Burch, Ian Jones-Quartey, David Herman"
Man to Man,7.4,"1,148",80 min,"Action, Drama, Thriller","Park Hae-Jin, Park Sung-woong, Min-Jung Kim, Jeong-hun Yeon"
Chocolate,7.7,"1,042",70 min,"Drama, Romance","Ha Ji-Won, Yoon Kyesang, Seung-jo Jang, Jin-Woong Min"
"Bring It On, Ghost",7.6,"2,276",60 min,"Comedy, Fantasy, Romance","Taecyeon, Kim So-Hyun, Lee Da-wit, Kang Ki-Young"
"Hi Bye, Mama!",8,"1,388",70 min,"Comedy, Drama, Fantasy","Kim Tae-hee, Kyoo-hyung Lee, Ko Bo-Gyeol, Seo Woo-Jin"
Defendant,8.2,"1,301",70 min,"Crime, Drama, Mystery","Seong Ji, Ki-joon Uhm, Jo Jae-yoon, Rin-Ah Shin"
Clean with Passion for Now,6.7,"1,091",70 min,"Comedy, Romance","Yoon Kyun-Sang, Kim Yoo-jeong, Jae-rim Song, Seon Yu"
The Great Queen Seondeok,8.8,"1,076",60 min,"Biography, Drama, History","Jeong Woong-in, Jeong-hyeon Kim, Dam Ryu, Yo-won Lee"
Angel's Last Mission: Love,7.8,"1,640",35 min,"Comedy, Drama, Fantasy","Hye-Sun Shin, Myung-Soo Kim, Dong-geon Lee, Bo-mi Kim"
"It's Okay, That's Love",8.3,"3,674",60 min,"Comedy, Drama, Romance","Dong-il Sung, Kwang-Soo Lee, Jin Kyung, Ik-joon Yang"
Was It Love,7.2,772,70 min,"Comedy, Drama, Romance","Song Ji-Hyo, Ho Joon Son, Jong-ho Song, Ja-Sung Koo"
Syucheu,7.4,624,60 min,"Crime, Drama, Thriller","Jang Dong-Gun, Park Hyung-Sik, Hee-kyung Jin, Jeong-an Chae"
Naesungjukin Boseu,7.2,"1,424",70 min,"Comedy, Drama, Romance","Gong Seung-Yeon, Woo-jin Yeon, Bak Yoon, Jun Hyo-Seong"
Do You Like Brahms?,7.7,629,65 min,"Drama, Music, Romance","Eun-bin Park, Min-Jae Kim, Kim Sung-cheol, Ji-Hyun Park"
Sonic the Hedgehog,6.8,"4,908",30 min,"Animation, Short, Action","Jaleel White, Bradley Pierce, Charlie Adler, Christine Cavanaugh"
Hometown,6.6,96,-,"Horror, Mystery, Thriller","Tae-goo Eom, Yoo Jae-myung, Yeri Han, Re Lee"
Personal Taste,7.4,"3,937",60 min,"Comedy, Drama, Romance","Son Ye-jin, Lee Min-Ho, Nam-gil Kim, Ji-seok Kim"
My Girlfriend Is a Gumiho,7.8,"2,888",60 min,"Comedy, Fantasy, Romance","Shin Min-a, Lee Seung-gi, Min-woo No, Park Soo-Jin"
L.U.C.A.: The Beginning,6.7,374,60 min,"Action, Fantasy, Sci-Fi","Rae-won Kim, Lee Da-hee, Kim Sung-oh, Hyuk-kwon Park"
My Secret Terrius,7.5,"1,110",35 min,"Comedy, Drama, Romance","So Ji-seob, In-sun Jung, Im She-mi, Kang Ki-Young"
The Good Detective,7.5,592,60 min,"Action, Drama, Mystery","Son Hyeon-ju, Seung-jo Jang, Elliya Lee, Seung-Hyeon Ji"
Come and Hug Me,7.9,949,35 min,"Crime, Drama, Mystery","Jang Ki-Yong, Ki-joo Jin, Joon-ho Huh, In-gi Jeong"
The Innocent Man,7.7,"1,723",60 min,Drama,"Song Joong-ki, Moon Chae-Won, Si-yeon Park, Kwang-Soo Lee"
Zombie Detective,7.4,594,30 min,"Comedy, Fantasy, Mystery","Choi Jin-Hyuk, Park Joo-Hyun, Hwa-Woon Kwon, Joong-ok Lee"
Chicago Typewriter,8.3,"1,613",70 min,"Drama, Fantasy, Romance","Yoo Ah-in, Lim Soo-jung, Go Kyung-Pyo, Si-Yang Kwak"
Imitation,7.7,522,70 min,"Comedy, Music, Romance","Ji-so Jung, Joon-Young Lee, Ji-Yeon Park, Yun-ho Jeong"
Wok of Love,7.5,775,35 min,"Comedy, Romance","Jun-Ho Lee, Jang Hyuk, Ryeowon Jung, Im Won-hee"
Bakugan Battle Brawlers,5.7,"2,607",22 min,"Animation, Action, Adventure","Jason Deline, Julie Lemieux, Carter Hayden, Shawn Meunier"
Secret Love Affair,7.9,487,60 min,"Drama, Music, Romance","Kim Hee-ae, Yoo Ah-in, Hyuk-kwon Park, Jang So-yeon"
Seven Day Queen,7.7,442,-,"Drama, Romance","Hyun-Sung Jang, Dong-geon Lee, Eun-seo Son, Do Ji-Won"
Kill It,7.7,699,60 min,"Drama, Mystery, Thriller","Jang Ki-Yong, Jin-Ah Im, No Jeong-ee, Jae-won Lee"
Still 17,7.8,"1,643",35 min,"Comedy, Romance","Hye-Sun Shin, Yang Se-Jong, Ahn Hyo-Seop, Ji-won Ye"
All of Us Are Dead,-,-,-,"Drama, Fantasy, Horror",-
Marriage Contract,7.6,627,75 min,Drama,"Seo-jin Lee, Kim You-Jin, Yoo-Ri Kim, Kim Kwang-gyu"
Racket Boys,1.8,"27,231",80 min,"Comedy, Drama, Sport","Kim Sang-kyung, Na-ra Oh, Tang Joon-sang, Sang-Yeon Son"
Stove League,8.4,637,60 min,"Drama, Sport","Min Namkoong, Eun-bin Park, Oh Jeong-Se, Byeong-gyu Jo"
Memorist,7.7,727,60 min,"Fantasy, Mystery, Thriller","Yoo Seung-ho, Se-yeong Lee, Chang-Seok Ko, Ji-On Yoon"
Life,7.7,616,60 min,"Drama, Thriller","Lee Dong-Wook, Cho Seung-woo, Jin-ah Won, Kyoo-hyung Lee"
Mad Dog,7.8,575,60 min,"Crime, Drama, Thriller","Ji-won Baek, Soo-Hyun Hong, Choi Wonyoung, Woo Do-Hwan"
Dakteoseu,7.7,"2,278",60 min,"Comedy, Drama, Romance","Park Shin-Hye, Lee Song-Kyoung, Rae-won Kim, Eom Hyo-Seob"
Misty,8.2,479,60 min,"Drama, Mystery, Romance","Nam-ju Kim, Jin-hee Ji, Hye-jin Jeon, Tae-kyung Im"
Where Stars Land,7.1,744,35 min,"Drama, Romance","Lee Jehoon, Chae Soo-bin, Dong-geon Lee, Kim Ji-Soo"
The Mummy,6.3,"1,023",22 min,"Animation, Action, Adventure","Chris Marquette, John Schneider, Jim Cummings, Grey Griffin"
"Hello, Me!",7.2,455,65 min,"Comedy, Fantasy, Romance","Kang-hee Choi, Kim Young-kwang, Re Lee, Eum Moon Suk"
So Not Worth It,7.4,956,35 min,"Comedy, Drama","Se-wan Park, Shin Hyun-Seung, Youngjae, Minnie Nicha Yontararak"
Familiar Wife,7.6,804,60 min,"Fantasy, Romance","Seong Ji, Han Ji-min, Seung-jo Jang, Kang Han-na"
The School Nurse Files,6.5,"1,021",51 min,"Comedy, Drama, Fantasy","Yu-mi Jung, Nam Joo-Hyuk, Shim Dal Gi, Ju-Young Lee"
My Sweet Dear,7,70,-,"Drama, Romance","Eui-soo Jang, Lee Chan-Hyeong, Do-yoon Jang, Seohu Jo"
Dong Yi,8.1,"1,451",60 min,"Drama, History, Romance","Han Hyo-joo, So-yeon Lee, Julia Lim, Kim Yoo-jeong"
Private Lives,6.5,545,70 min,"Crime, Drama, Romance","Seohyun, Hyo-jin Kim, Tae Won-suk, Go Kyung-Pyo"
Doctor Prisoner,7.7,566,35 min,"Drama, Mystery, Thriller","Byeong-cheol Kim, Min Namkoong, Nara, Choi Wonyoung"
River Where the Moon Rises,7.6,360,60 min,"History, Romance","Kim So-Hyun, Na In-Woo, Hee-jung Kim, Bit-na Wang"
Peurodyusa,7.3,"1,106",85 min,"Comedy, Drama, Romance","Tae-Hyun Cha, Kong Hyo-Jin, Kim Soo-hyun, Ji-eun Lee"
The Cursed,7.2,172,60 min,"Drama, Fantasy, Mystery","Ji-won Uhm, Ji-so Jung, Dong-il Sung, Min-soo Jo"
Full House,7.9,"3,227",60 min,"Comedy, Romance","Song Hye-Kyo, Rain, Eun-jeong Han, Seong-su Kim"
The Master's Sun,8.2,"4,357",62 min,"Comedy, Fantasy, Horror","Kong Hyo-Jin, So Ji-seob, Seo In-Guk, Yoo-Ri Kim"
To the Beautiful You,7.2,"1,822",64 min,"Comedy, Romance","Kim Ji-Won, Kang Ha-Neul, Choi Minho, Sulli Choi"
To All the Guys Who Loved Me,6.5,172,32 min,"Comedy, Fantasy, Romance","Hwang Jeong-eum, Hyun-min Yoon, Seo Ji-Hoon, Woo-Ri Jo"
Police University,7.5,402,65 min,"Comedy, Drama, Romance","Tae-Hyun Cha, Jung Jinyoung, Krystal Jung, Lee Dal"
Into the Ring,7.4,193,30 min,"Comedy, Drama, Romance","Jin-Ah Im, Sung-Hoon Park, Ahn Nae-sang, Da-in Yoo"
He is Psychometric,7.7,"1,383",65 min,"Fantasy, Mystery, Romance","Jinyoung Park, Ye-Eun Shin, Kwon Kim, Kim Dasom"
"At A Distance, Spring Is Green",8.2,435,65 min,"Drama, Romance","Ji-Hoon Park, Min Ah Kang, Bae In-Hyuk, Woo Da-Vi"
Live,8.3,"1,127",60 min,"Comedy, Crime, Drama","Yu-mi Jung, Kwang-Soo Lee, Sung-Woo Bae, Chong-ok Bae"
Goedam,5.8,806,10 min,"Short, Horror, Mystery","Song Chae-Yoon, Han Su-ah, Shim So-Young, Yeong-gi Jeong"
High Class,7.5,91,-,"Drama, Mystery","Yeo-jeong Cho, Kim Ji-Soo, Yeong-jae Kim, Gong Hyun Joo"
Train,7.9,694,60 min,"Fantasy, Mystery, Sci-Fi","Yoon Shi-Yoon, Soo-jin Kyung, Lee Hang-na, So-yul Shin"
Bing-ui,6.8,662,-,"Comedy, Crime, Drama","Han Sun Jo, Jun-hee Ko, Sae-byeok Song, Jeong-hun Yeon"
Special Agent Oso,5.2,555,23 min,"Animation, Action, Adventure","Meghan Strange, Gary Anthony Williams, Sean Astin, Phill Lewis"
Watcher,7.9,351,65 min,"Crime, Drama, Thriller","Han Suk-kyu, Seo Kang-Joon, Kim Hyun-joo, Joo-hee Park"
The Smile Has Left Your Eyes,7.7,"1,009",60 min,"Drama, Mystery, Romance","Seo In-Guk, Jung So-Min, Park Sung-woong, Go Min-Si"
Bad Guys,7.9,"1,486",60 min,"Action, Crime, Thriller","Sang-Jung Kim, Ma Dong-seok, Park Hae-Jin, Dong-Hyuk Cho"
Love with Flaws,7.2,346,30 min,Romance,"Yeon-Seo Oh, Ahn Jae-Hyun, Seul-gi Kim, Gu Won"
Drama Stage,8,27,70 min,Drama,"Woo-Seok Byeon, Kwon Soo-Hyeon, Choi Seung-yoon, Kim Won-Hae"
A Piece of Your Mind,7.4,565,70 min,"Comedy, Romance","Jung Hae-In, Chae Soo-bin, Lee Hana, Kim Sungkyu"
Who Are You: School 2015,7.7,"1,708",-,"Drama, Mystery, Romance","Mi-seon Jeon, Nam Joo-Hyuk, Doo-Sik Park, Kim So-Hyun"
Nobody Knows,8.2,236,70 min,"Crime, Drama, Mystery","Kim Seo-hyeong, Deok-Hwan Ryu, Park Hoon, Ji-ho Ahn"
The Best Hit,7.4,679,30 min,"Comedy, Fantasy","Tae-Hyun Cha, Min-Jae Kim, Se-yeong Lee, Yoon Shi-Yoon"
Sell Your Haunted House,7.8,543,65 min,"Comedy, Fantasy, Horror","Jang Na-ra, Yong-hwa Jung, Mal-Geum Kang, Kang Hong-Seok"
Leverage,8.4,89,60 min,"Action, Crime, Drama","Dong-geon Lee, Hye-bin Jeon, Kim Sae-ron, Kwon Kim"
Love,6.5,347,70 min,"Drama, Romance","Sung Hoon, Lee Ga-Ryeong, Tae-gon Lee, Joo-mi Park"
Shinui,8,"2,364",60 min,"Drama, Fantasy, History","Kim Hee-seon, Yoon Kyun-Sang, Lee Min-Ho, Deok-Hwan Ryu"
Ultimate Beastmaster,7.3,"2,316",55 min,"Game-Show, Reality-TV","Luis Ernesto Franco, Anderson Silva, Tiki Barber, Inés Sainz"
Dark Hole,6.1,325,60 min,"Action, Fantasy, Mystery","Kim Ok-bin, Lee Joon-hyuk, Cho Ji-Ahn, Im Won-hee"
"Hyde, Jekyll, Me",7,"1,074",-,"Comedy, Drama, Romance","Hyun Bin, Han Ji-min, Hyeri Lee, Seung-Joon Lee"
The Secret Life of My Secretary,7.3,901,35 min,"Comedy, Romance","Ki-joo Jin, Kim Young-kwang, Jung Ae-ri, Han Ji-Sun"
Another Miss Oh,7.8,"1,631",70 min,"Comedy, Fantasy, Romance","Eric Moon, Hyeon-jin Seo, Ji-won Ye, Ji-seok Kim"
Sungkyunkwan Scandal,7.8,"1,457",70 min,"Comedy, Drama, History","Park Min-Young, Yu Chun Park, Yoo Ah-in, Song Joong-ki"
Hello Monster,7.8,"1,343",-,"Crime, Mystery, Romance","Seo In-Guk, Jang Na-ra, Park Bo-Gum, Choi Wonyoung"
Nae ireumeun Kim Sam-soon,8,"1,739",960 min,"Comedy, Drama, Romance","Kim Seon-a, Hyun Bin, Ryeowon Jung, Woon-gye Yeo"
Idol: The Coup,7.2,14,-,"Drama, Music",-
Fated to Love You,7.9,"2,204",60 min,"Comedy, Romance","Jang Hyuk, Jang Na-ra, Choi Jin-Hyuk, Woo-sik Choi"
Born Again,6.5,234,35 min,"Fantasy, Mystery, Romance","Jang Ki-Yong, Se-Yeon Jin, Lee Soo-hyuk, In-gyeom Jeong"
School 2017,7.5,"1,005",-,Drama,"Se-Jeong Kim, Kim Jung-hyun, Dong-Yoon Jang, Sun Hwa Han"
Yeopgijeogin Geunyeo,6.9,503,-,"Comedy, Romance","Yeon-Seo Oh, Joo Won, Shi-Kang Lee, Jung Shin Lee"
365: Repeat the Year,8.1,539,30 min,"Crime, Drama, Fantasy","Lee Joon-hyuk, Nam Ji-Hyun, Kim Ji-Soo, Ryeoun"
Criminal Minds,5.9,373,60 min,"Action, Crime, Thriller","Lee Joon-Gi, Son Hyeon-ju, Moon Chae-Won, Seon Yu"
Larva,7,489,2 min,"Animation, Short, Comedy","Beom-gi Hong, Shin-You Sei"
Guga-ui Seo,8,"1,648",-,"Action, Comedy, Fantasy","Kim Hee-won, Hye-Young Jung, Sung-Jae Lee, Jo Sung-ha"
Once Again,8.4,234,35 min,"Comedy, Drama, Romance","Lee Min-Jung, Ho-jin Chun, Hwa-yeon Cha, Lee Sang-Yeob"
Secret Love,8.1,"1,119",-,"Drama, Romance","Hwang Jeong-eum, Seong Ji, Soo-bin Bae, Lee Da-hee"
You Are Beautiful,7.7,"4,424",60 min,"Comedy, Drama, Music","Park Shin-Hye, Keun-Suk Jang, Yong-hwa Jung, Hong-ki Lee"
Witch's Court,7.5,348,-,"Crime, Drama, Mystery","Ik-Ryeong Jeon, Lee Il-Hwa, Choi Ri, Jeon Bae-soo"
Bad Guys 2: City of Evil,7.7,182,-,"Action, Crime, Drama","Ji Yoon Hong, Seung-Hyeon Ji, Tae-goo Eom, Kang Ha-Neul"
Melloga Chejil,8.2,513,65 min,"Comedy, Romance","Woo-hee Chun, Jeon Yeo-bin, Han Ji-Eun, Jae-hong Ahn"
Beyblade Burst,6.8,459,24 min,"Animation, Action, Adventure","Matt Hill, Sabrina Pitre, Adrian Petriw, Zach LeBlanc"
The Spies Who Loved Me,6,142,35 min,"Action, Comedy, Romance","Yoo In-Na, Eric Moon, Ju-hwan Lim, Joo-Young Cha"
Birth of a Beauty,7,842,60 min,"Comedy, Romance","Ye-seul Han, Gyo-jin In, Sang-uk Joo, Gyu-Woon Jung"
Emergency Couple,7.4,"1,562",60 min,"Comedy, Drama, Romance","Song Ji-Hyo, Choi Jin-Hyuk, Lee Pil-mo, Yeo-jin Choi"
Reply 1994,7.8,"1,239",75 min,"Comedy, Drama, Romance","Go Ara, Woo Jung, Yoo Yeon-Seok, Kim Seong-gyoon"
The King 2 Hearts,7.7,"1,260",65 min,"Action, Drama, Romance","Lee Seung-gi, Ha Ji-Won, Jo Jung-Suk, Jason-Patrick Taylor"
Modooui Geojitmal,7.1,319,60 min,"Drama, Mystery, Thriller","Lee Min-ki, Yoo-Young Lee, Lee Joon-hyuk, Kim Yong Ji"
Hotel King,7.2,384,65 min,"Drama, Romance","Lee Da-hae, Lee Dong-Wook, Kim Sun-young, Kim Hae-sook"
Remember: War of the Son,7.9,917,60 min,"Drama, Thriller","Yoo Seung-ho, Park Min-Young, Min Namkoong, Lee Si-eon"
The Light in Your Eyes,8.1,570,60 min,"Comedy, Drama, Fantasy","Han Ji-min, Hye-ja Kim, Nam Joo-Hyuk, Ho Joon Son"
Smile PreCure!,6.6,368,24 min,"Animation, Action, Adventure","Misato Fukuen, Marina Inoue, Hisako Kanemoto, Chinami Nishimura"
Reply 1997,8,"1,942",50 min,"Comedy, Drama, Romance","Eun-ji Jung, Seo In-Guk, Hoya, So-yul Shin"
Crime Puzzle,-,-,-,"Drama, Mystery, Romance",-
Goong,7.6,"2,533",60 min,"Comedy, Romance","Yun Eun-hye, Ju Ji-Hoon, Song Ji-Hyo, Bool-am Choi"
Mischievous Kiss,7.1,"3,273",66 min,"Comedy, Romance","Jung So-Min, Kim Hyun-joong, Tae-Sung Lee, Hye-Young Jung"
Byeonhyeokui Sarang,7,601,-,"Comedy, Romance","Si Won Choi, Kang So-ra, Myoung Gong, Mi-ri Gyeon"
Warrior Baek Dong Soo,8,463,-,Action,"Ji Chang-Wook, Yoo Seung-ho, Shin Hyon Bin, Ho-Chang Kim"
Jumong,8,"2,464",60 min,"Biography, Drama, History","Il-guk Song, Hye-jin Han, Seung-su Kim, Kwang-ryul Jun"
The Emperor: Owner of the Mask,7.4,531,-,"Drama, History, Romance","Yoo Seung-ho, Kim So-Hyun, Hyun-soo Shin, Myung-Soo Kim"
Haechi,7.8,259,35 min,"Action, Drama, History","Il-Woo Jung, Kwon Yul, Park Hoon, Lee Kyung-young"
My Golden Life,6.4,280,65 min,"Drama, Romance","Hye-Sun Shin, Shi-hoo Park, Lee Tae-Hwan, Eun-Su Seo"
Hyena,7.8,668,60 min,"Drama, Romance","Ju Ji-Hoon, Kim Hye-su, Lee Kyung-young, Jun Suk-ho"
SF8,6.9,108,60 min,"Action, Comedy, Drama","Dong-hwi Lee, Yoon Kyung-ho, Seo Hyun-woo, Yoo-Young Lee"
Oh My Ladylord,6,178,-,"Comedy, Romance","Lee Min-ki, Jin-Ah Im, Kang Min Hyuk, Woo Jin Kim"
About Time,7,521,70 min,Fantasy,"Kim Ro Woon, Lee Song-Kyoung, Kim Hae-sook, Kang Ki-Doong"
Knowing Bros,8.3,391,100 min,"Comedy, Game-Show, Reality-TV","Ho-Dong Kang, Soo Geun Lee, Jang Hoon Seo, Kyeong Hoon Min"
LoliRock,7.3,420,26 min,"Animation, Action, Adventure","Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball"
Father Is Strange,8.2,439,66 min,"Comedy, Drama, Romance","Yeong-cheol Kim, Kim Hae-sook, Yu-ri Lee, Soo-young Ryu"
The Hungry and the Hairy,-,-,-,Reality-TV,-
Sheriff Callie's Wild West,6.4,632,25 min,"Animation, Action, Adventure","Mandy Moore, Lucas Grabeel, Jessica DiCicco, Kevin Michael Richardson"
High Society,6.8,423,60 min,"Drama, Romance","Kim You-Jin, Sung Jun, Park Hyung-Sik, Ji-Yeon Lim"
The King Loves,7.3,240,-,"Drama, Romance","Im Yoon-ah, Ji-Hyun Park, Youngwoon Park, Jang Young-Nam"
Don't Dare to Dream,7.8,"1,317",-,"Comedy, Romance","Jo Jung-Suk, Kong Hyo-Jin, Go Kyung-Pyo, Seo Ji-hye"
"Father, I'll Take Care of You",7.8,39,-,Drama,"Jae-won Kim, Soo-kyung Lee, Eun-bin Park, Lee Tae-Hwan"
More Than Friends,6.6,297,70 min,"Drama, Romance","Seong-wu Ong, Ye-Eun Shin, Eun-Jin Ahn, Baek Soo-Min"
The Scholar Who Walks the Night,7.3,842,-,"Action, Fantasy, History","Lee Joon-Gi, Tae-Hwan Choi, Jang Hie-jin, Chang-min Shim"
Entourage,5.7,136,-,"Comedy, Drama","Cho Jin-woong, Seo Kang-Joon, Dong-hwi Lee, Kwang-Soo Lee"
Temperature of Love,7.2,505,-,"Comedy, Romance","Yang Se-Jong, Jo Bo-ah, Kim Jae-Wook, Hyeon-jin Seo"
Dinner Mate,7.4,363,35 min,"Comedy, Drama, Romance","Song Seung-heon, Seo Ji-hye, Ji-Hoon Lee, Na-Eun Son"
The Last Empress,6.7,493,-,Drama,"Jang Na-ra, Choi Jin-Hyuk, Seong-rok Sin, Elliya Lee"
The Wacky World of Tex Avery,5.2,473,30 min,"Animation, Comedy, Family","Billy West, Cree Summer, Terry Klassen, Maurice LaMarche"
Live On,7.5,247,60 min,"Drama, Romance","Da-bin Jung, Min-Hyun Hwang, Jung Hyun Noh, Yang Hye-Ji"
Rooftop Prince,7.8,"2,426",65 min,"Comedy, Fantasy, Romance","Woo-sik Choi, Seok-won Jeong, Yu-mi Jeong, Han Ji-min"
The Haunted House: The Secret of the 'Ghost Ball',8.3,62,-,"Animation, Adventure, Comedy","Anna Cummer, Megan Baldrey, Brianna Johnston, Caitlynne Medrek"
Life on Mars,8.2,683,65 min,"Crime, Drama, Mystery","Jung Kyung-ho, Park Sung-woong, Ko Asung, Dae-hwan Oh"
Psychopath Diary,7.8,444,75 min,"Comedy, Crime, Mystery","Yoon Shi-Yoon, In-sun Jung, Sung-Hoon Park, Tae-Hwan Choi"
Money Flower,6.9,266,-,Drama,"Seung-jo Jang, Han So-hee, Ki-Won Nam, Jang Hyuk"
Oggy and the Cockroaches,7.3,"4,033",8 min,"Animation, Adventure, Comedy","Hugues Le Bars, Michel Elias, Peter Kelamis, Don Michael Paul"
All In,7.8,358,-,"Action, Drama, Romance","Song Hye-Kyo, Lee Byung-hun, Seong Ji, Jeong-won Choi"
Peach of Time,8.2,70,30 min,"Drama, Romance","Choi Jae-Hyeon, Karn Kritsanaphan, Sittichok Pueakpoolpol, Ae-Yeon Jeong"
Something About 1%,7.7,"1,045",40 min,"Comedy, Romance","Ha Seok-jin, So-Min Jun, Hae-In Lee, Do-Yoon Im"
Stitch!,4.5,251,-,"Animation, Comedy, Family","Kôichi Yamadera, Motoko Kumai, Yûji Mitsuya, Shôzô Îzuka"
Black Knight,6.1,381,-,"Fantasy, Romance","Mi-hee Chang, Seo Ji-hye, Rae-won Kim, Sung-Hoon Park"
Two Cops,7.2,377,-,"Comedy, Fantasy, Romance","Jo Jung-Suk, Oh Eui-Sik, Hyeri Lee, Kim Seon-Ho"
The World That They Live In,7.5,227,65 min,"Drama, Romance","Hyun Bin, Song Hye-Kyo, Ki-joon Uhm, Seo Hyo-Rim"
The Girl Who Sees Smells,7.1,"1,090",60 min,"Comedy, Drama, Fantasy","Yu Chun Park, Shin Se-Kyung, Jin-Seo Yoon, Min Namkoong"
Rich Man,6.7,568,65 min,"Comedy, Romance","Lee Tae-Vin, Yeon-Soo Ha, Jun-Myon Kim, Lee Jae Jin"
Higglytown Heroes,5,507,30 min,"Animation, Family","Robert Grovich, Frankie Ryan Manriquez, Liliana Mumy, Rory Thost"
Bonkers,6.8,"1,420",27 min,"Animation, Short, Action","Jim Cummings, Earl Boen, Frank Welker, Jeff Bennett"
I Have a Lover,7.9,108,75 min,"Drama, Romance","Kim Hyun-joo, Jin-hee Ji, Han-byeol Park, Kyu-han Lee"
Excellent Shaman Ga Doo Shim,7.1,188,20 min,"Fantasy, Mystery","Kim Sae-ron, Nam Da-reum, Soo-Jang Baek, Bae Hae-Sun"
The Sound of Your Heart,8.2,982,-,Comedy,"Kwang-Soo Lee, Dae-Myung Kim, Jung So-Min, Kim Byeong-Ok"
Tobot,6.8,37,22 min,"Animation, Action, Adventure","Valin Shinyei, Octavian Kaul, Paul Dobson, Matt Hill"
Yong Pal,7.5,753,60 min,"Drama, Romance","Joo Won, Kim Tae-hee, Hyeon-jae Jo, Jeong-an Chae"
Queen In-hyun's Man,8,"1,074",45 min,"Fantasy, Romance","Eom Hyo-Seob, Yoo In-Na, Hyun-Woo Ji, Dal-hwan Jo"
Iljimae,8.1,902,60 min,"Action, History, Romance","Lee Joon-Gi, Sung-ryung Kim, Kil-kang Ahn, Won-jong Lee"
"I'm Sorry, I Love You",8.4,"1,143",70 min,"Drama, Romance","So Ji-seob, Lim Soo-jung, Jung Kyung-ho, Lee Hye-yeong"
Syowindo: Yeowangui Jib,-,-,-,"Mystery, Romance, Thriller",-
BTS: Bon Voyage,9.6,908,-,Reality-TV,"BTS, J-Hope, Jimin, Jin"
Summer Love,7,60,5 min,"Comedy, Romance","Lee Min-Ho, Im Yoon-ah"
Flower Boy Next Door,7.2,"1,560",-,"Comedy, Romance","Kim Ji-hoon, Seul-gi Kim, Go Kyung-Pyo, Kôki Mizuta"
Pucca,6.7,"4,338",6 min,"Animation, Action, Comedy","Judith Cabral, Tabitha St. Germain, Lee Tockar, Brian Drummond"
